english_title,bengali_title,bengali_version,english_version
"Beautiful is thy wristlet, decked with stars",সুন্দর বটে তব অঙ্গদখানি,"সুন্দর বটে তব অঙ্গদখানি তারায় তারায় খচিত, স্বর্ণে রত্নে শোভন লোভন জানি বর্ণে বর্ণে রচিত। খড়্ গ তোমার আরো মনোহর লাগে বাঁকা বিদ্যুতে আঁকা সে, গরুড়ের পাখা রক্তরবির রাগে যেন গো অস্ত-আকাশে। জীবন-শেষের শেষ জাগরণসম ঝলসিছে মহাবেদনা- নিমেষে দহিয়া যাহা-কিছু আছে মম তীব্র ভীষণ চেতনা। সুন্দর বটে তব অঙ্গদখানি তারায় তারায় খচিত- খড়গ তোমার,হে দেব বজ্রপাণি, চরম শোভায় রচিত।","Beautiful is thy wristlet, decked with stars and cunningly wrought in
myriad-coloured jewels. But more beautiful to me thy sword with its
curve of lightning like the outspread wings of the divine bird of
Vishnu, perfectly poised in the angry red light of the sunset.

It quivers like the one last response of life in ecstasy of pain at the
final stroke of death; it shines like the pure flame of being burning
up earthly sense with one fierce flash.

Beautiful is thy wristlet, decked with starry gems; but thy sword, O
lord of thunder, is wrought with uttermost beauty, terrible to behold
or think of."
I asked nothing from thee,তোমার কাছে চাইনি কিছু,"তোমার কাছে চাই নি কিছু, জানাই নি মোর নাম-- তুমি যখন বিদায় নিলে নীরব রহিলাম। একলা ছিলেম কুয়ার ধারে নিমের ছায়াতলে, কলস নিয়ে সবাই তখন পাড়ায় গেছে চলে। আমায় তারা ডেকে গেল, ""আয় গো, বেলা যায়।' কোন্‌ আলসে রইনু বসে কিসের ভাবনায়। পদধ্বনি শুনি নাইকো কখন তুমি এলে। কইলে কথা ক্লান্তকণ্ঠে করুণ চক্ষু মেলে-- ""তৃষাকাতর পান্থ আমি'-- শুনে চমকে উঠে জলের ধারা দিলেম ঢেলে তোমার করপুটে। মর্মরিয়া কাঁপে পাতা, কোকিল কোথা ডাকে, বাবলা ফুলের গন্ধ ওঠে পল্লীপথের বাঁকে। যখন তুমি শুধালে নাম পেলেম বড়ো লাজ, তোমার মনে থাকার মতো করেছি কোন্‌ কাজ। তোমায় দিতে পেরেছিলেম একটু তৃষার জল, এই কথাটি আমার মনে রহিল সম্বল। কুয়ার ধারে দুপুরবেলা তেমনি ডাকে পাখি, তেমনি কাঁপে নিমের পাতা-- আমি বসেই থাকি।","I asked nothing from thee; I uttered not my name to thine ear. When
thou took’st thy leave I stood silent. I was alone by the well where
the shadow of the tree fell aslant, and the women had gone home with
their brown earthen pitchers full to the brim. They called me and
shouted, ""Come with us, the morning is wearing on to noon."" But I
languidly lingered awhile lost in the midst of vague musings.

I heard not thy steps as thou camest. Thine eyes were sad when they
fell on me; thy voice was tired as thou spokest low—""Ah, I am a thirsty
traveller."" I started up from my day-dreams and poured water from my
jar on thy joined palms. The leaves rustled overhead; the cuckoo sang
from the unseen dark, and perfume of _babla_ flowers came from the bend
of the road.

I stood speechless with shame when my name thou didst ask. Indeed, what
had I done for thee to keep me in remembrance? But the memory that I
could give water to thee to allay thy thirst will cling to my heart and
enfold it in sweetness. The morning hour is late, the bird sings in
weary notes, _neem_ leaves rustle overhead and I sit and think and
think."
Languor is upon your heart and the slumber,এখনো ঘোর ভাঙে না তোর যে,"এখনো ঘোর ভাঙে না তোর যে মেলে না তোর আঁখি, কাঁটার বনে ফুল ফুটেছে রে জানিস নে তুই তা কি। ওরে অলস, জানিস নে তুই তা কি। জাগো এবার জাগো, বেলা কাটাস না গো। কঠিন পথের শেষে কোথায় অগম বিজন দেশে ও সেই বন্ধু আমার একলা আছে গো, দিস নে তারে ফাঁকি। চিরজীবন দিস নে তারে ফাঁকি। জাগো এবার জাগো, বেলা কাটাস না গো। প্রখর রবির তাপে নাহয় শুষ্ক গগন কাঁপে, নাহয় দগ্ধ বালু তপ্ত আঁচলে দিক চারি দিক ঢাকি। পিপাসাতে দিক চারি দিক ঢাকি। মনের মাঝে চাহি দেখ্ রে আনন্দ কি নাহি। পথে পায়ে পায়ে দুখের বাঁশরি বাজবে তোরে ডাকি। মধুর সুরে বাজবে তোরে ডাকি। জাগো এবার জাগো, বেলা কাটাস না গো।","Languor is upon your heart and the slumber is still on your eyes.

Has not the word come to you that the flower is reigning in splendour
among thorns? Wake, oh awaken! let not the time pass in vain!

At the end of the stony path, in the country of virgin solitude, my
friend is sitting all alone. Deceive him not. Wake, oh awaken!

What if the sky pants and trembles with the heat of the midday sun—what
if the burning sand spreads its mantle of thirst—

Is there no joy in the deep of your heart? At every footfall of yours,
will not the harp of the road break out in sweet music of pain?"
Thus it is that thy joy in me is so full,তাই তোমার আনন্দ আমার পর,"তাই তোমার আনন্দ আমার 'পর তুমি তাই এসেছ নীচে। আমায় নইলে ত্রিভুবনেশ্বর, তোমার প্রেম হত যে মিছে। আমায় নিয়ে মেলেছ এই মেলা, আমার হিয়ায় চলছে রসের খেলা, মোর জীবনে বিচিত্ররূপ ধরে তোমার ইচ্ছা তরঙ্গিছে॥ তাই তো তুমি রাজার রাজা হয়ে তব আমার হৃদয় লাগি ফিরছ কত মনোহরণ-বেশে প্রভু, নিত্য আছ জাগি। তাই তো, প্রভু, হেথায় এল নেমে, তোমারি প্রেম ভক্তপ্রাণের প্রেমে, মূর্তি তোমার যুগল-সম্মিলনে সেথায় পূর্ণ প্রকাশিছে॥","Thus it is that thy joy in me is so full. Thus it is that thou hast
come down to me. O thou lord of all heavens, where would be thy love if
I were not?

Thou hast taken me as thy partner of all this wealth. In my heart is
the endless play of thy delight. In my life thy will is ever taking
shape.

And for this, thou who art the King of kings hast decked thyself in
beauty to captivate my heart. And for this thy love loses itself in the
love of thy lover, and there art thou seen in the perfect union of two."
"Light, my light, the world-filling light","আলো আমার আলো, ওগো","আলো আমার, আলো ওগো, আলো ভুবন-ভরা। আলো নয়ন-ধোওয়া আমার, আলো হৃদয়-হরা॥ নাচে আলো নাচে, ও ভাই, আমার প্রাণের কাছে-- বাজে আলো বাজে, ও ভাই হৃদয়বীণার মাঝে-- জাগে আকাশ, ছোটে বাতাস, হাসে সকল ধরা॥ আলোর স্রোতে পাল তুলেছে হাজার প্রজাপতি। আলোর ঢেউয়ে উঠল নেচে মল্লিকা মালতী। মেঘে মেঘে সোনা, ও ভাই, যায় না মানিক গোনা-- পাতায় পাতায় হাসি, ও ভাই, পুলক রাশি রাশি-- সুরনদীর কূল ডুবেছে সুধা-নিঝর-ঝরা॥","Light, my light, the world-filling light, the eye-kissing light,
heart-sweetening light!

Ah, the light dances, my darling, at the centre of my life; the light
strikes, my darling, the chords of my love; the sky opens, the wind
runs wild, laughter passes over the earth.

The butterflies spread their sails on the sea of light. Lilies and
jasmines surge up on the crest of the waves of light.

The light is shattered into gold on every cloud, my darling, and it
scatters gems in profusion.

Mirth spreads from leaf to leaf, my darling, and gladness without
measure. The heaven’s river has drowned its banks and the flood of joy
is abroad."
Let all the strains of joy,যেন শেষ গানে মোর সব রাগিণী পূরে,"যেন শেষ গানে মোর সব রাগিণী পূরে — আমার সব আনন্দ মেলে তাহার সুরে। যে আনন্দে মাটির ধরা হাসে অধীর হয়ে তরুলতায় ঘাসে, যে আনন্দে দুই পাগলের মতো জীবন-মরণ বেড়ায় ভুবন ঘুরে — সেই আনন্দ মেলে তাহার সুরে। যে আনন্দ আসে ঝড়ের বেশে, ঘুমন্ত প্রাণ জাগায় অট্টহেসে। যে আনন্দ দাঁড়ায় আঁখিজলে দুঃখ-ব্যথার রক্তশতদলে, যা আছে সব ধুলায় ফেলে দিয়ে যে আনন্দে বচন নাহি ফুরে সেই আনন্দ মেলে তাহার সুরে।","Let all the strains of joy mingle in my last song—the joy that makes
the earth flow over in the riotous excess of the grass, the joy that
sets the twin brothers, life and death, dancing over the wide world,
the joy that sweeps in with the tempest, shaking and waking all life
with laughter, the joy that sits still with its tears on the open red
lotus of pain, and the joy that throws everything it has upon the dust,
and knows not a word."
"Yes, I know, this is nothing but thy love","এই তো তোমার প্রেম, ওগো","এই তো তোমার প্রেম, ওগো হৃদয়হরণ। এই-যে পাতায় আলো নাচে সোনার বরন। এই-যে মধুর আলসভরে মেঘ ভেসে যায় আকাশ- ' পরে, এই-যে বাতাস দেহে করে অমৃত ক্ষরণ। এই তো তোমার প্রেম, ওগো হৃদয়হরণ। প্রভাত-আলোর ধারায় আমার নয়ন ভেসেছে। এই তোমারি প্রেমের বাণী প্রাণে এসেছে। তোমারি মুখ ওই নুয়েছে, মুখে আমার চোখ থুয়েছে, আমার হৃদয় আজ ছুঁয়েছে তোমারি চরণ।","Yes, I know, this is nothing but thy love, O beloved of my heart— this
golden light that dances upon the leaves, these idle clouds sailing
across the sky, this passing breeze leaving its coolness upon my
forehead.

The morning light has flooded my eyes—this is thy message to my heart.
Thy face is bent from above, thy eyes look down on my eyes, and my
heart has touched thy feet."
On the seashore of endless worlds children meet,জগৎ পারাবারের তীরে,"জগৎ-পারাবারের তীরে ছেলেরা করে মেলা। অন্তহীন গগনতল মাথার 'পরে অচঞ্চল, ফেনিল ওই সুনীল জল নাচিছে সারা বেলা। উঠিছে তটে কী কোলাহল-- ছেলেরা করে মেলা। বালুকা দিয়ে বাঁধিছে ঘর, ঝিনুক নিয়ে খেলা। বিপুল নীল সলিল-'পরি ভাসায় তারা খেলার তরী আপন হাতে হেলায় গড়ি পাতায়-গাঁথা ভেলা। জগৎ-পারাবারের তীরে ছেলেরা করে খেলা। জানে না তারা সাঁতার দেওয়া, জানে না জাল ফেলা। ডুবারি ডুবে মুকুতা চেয়ে, বণিক ধায় তরণী বেয়ে, ছেলেরা নুড়ি কুড়ায়ে পেয়ে সাজায় বসি ঢেলা। রতন ধন খোঁজে না তারা, জানে না জাল ফেলা। ফেনিয়ে উঠে সাগর হাসে, হাসে সাগর-বেলা। ভীষণ ঢেউ শিশুর কানে রচিছে গাথা তরল তানে, দোলনা ধরি যেমন গানে জননী দেয় ঠেলা। সাগর খেলে শিশুর সাথে, হাসে সাগর-বেলা। জগৎ-পারাবারের তীরে ছেলেরা করে মেলা। ঝঞ্ঝা ফিরে গগনতলে, তরণী ডুবে সুদূর জলে, মরণ-দূত উড়িয়া চলে, ছেলেরা করে খেলা। জগৎ-পারাবারের তীরে শিশুর মহামেলা।","On the seashore of endless worlds children meet. The infinite sky is
motionless overhead and the restless water is boisterous. On the
seashore of endless worlds the children meet with shouts and dances.

They build their houses with sand and they play with empty shells. With
withered leaves they weave their boats and smilingly float them on the
vast deep. Children have their play on the seashore of worlds.

They know not how to swim, they know not how to cast nets. Pearl
fishers dive for pearls, merchants sail in their ships, while children
gather pebbles and scatter them again. They seek not for hidden
treasures, they know not how to cast nets.

The sea surges up with laughter and pale gleams the smile of the sea
beach. Death-dealing waves sing meaningless ballads to the children,
even like a mother while rocking her baby’s cradle. The sea plays with
children, and pale gleams the smile of the sea beach.

On the seashore of endless worlds children meet. Tempest roams in the
pathless sky, ships get wrecked in the trackless water, death is abroad
and children play. On the seashore of endless worlds is the great
meeting of children."
The sleep that flits on baby's eyes,খোকার চোখে যে ঘুম আসে সকল তাপনাশা,"খোকার চোখে যে ঘুম আসে সকল-তাপ-নাশা-- জান কি কেউ কোথা হতে যে করে সে যাওয়া-আসা। শুনেছি রূপকথার গাঁয়ে জোনাকি-জ্বলা বনের ছায়ে দুলিছে দুটি পারুল-কুঁড়ি, তাহারি মাঝে বাসা-- সেখান থেকে খোকার চোখে করে সে যাওয়া-আসা। খোকার ঠোঁটে যে হাসিখানি চমকে ঘুমঘোরে-- কোন্‌ দেশে যে জনম তার কে কবে তাহা মোরে। শুনেছি কোন্‌ শরৎ-মেঘে শিশু-শশীর কিরণ লেগে সে হাসিরুচি জনমি ছিল শিশিরশুচি ভোরে-- খোকার ঠোঁটে যে হাসিখানি চমকে ঘুমঘোরে। খোকার গায়ে মিলিয়ে আছে যে কচি কোমলতা-- জান কি সে যে এতটা কাল লুকিয়ে ছিল কোথা। মা যবে ছিল কিশোরী মেয়ে করুণ তারি পরান ছেয়ে মাধুরীরূপে মুরছি ছিল কহে নি কোনো কথা-- খোকার গায়ে মিলিয়ে আছে যে কচি কোমলতা। আশিস আসি পরশ করে খোকারে ঘিরে ঘিরে-- জান কি কেহ কোথা হতে সে বরষে তার শিরে। ফাগুনে নব মলয়শ্বাসে, শ্রাবণে নব নীপের বাসে, আশিনে নব ধান্যদলে, আষাড়ে নব নীরে-- আশিস আসি পরশ করে খোকারে ঘিরে ঘিরে। এই-যে খোকা তরুণতনু নতুন মেলে আঁখি-- ইহার ভার কে লবে আজি তোমরা জান তা কি। হিরণময় কিরণ-ঝোলা যাঁহার এই ভুবন-দোলা তপন-শশী-তারার কোলে দেবেন এরে রাখি-- এই-যে খোকা তরুণতনু নতুন মেলে আঁখি।","The sleep that flits on baby's eyes—does anybody know from where it
comes? Yes, there is a rumour that it has its dwelling there, in the
fairy village among shadows of the forest dimly lit with glow-worms,
there hang two timid buds of enchantment. From there it comes to kiss
baby’s eyes.

The smile that flickers on baby’s lips when he sleeps—does anybody know
where it was born? Yes, there is a rumour that a young pale beam of a
crescent moon touched the edge of a vanishing autumn cloud, and there
the smile was first born in the dream of a dew-washed morning—the smile
that flickers on baby’s lips when he sleeps.

The sweet, soft freshness that blooms on baby’s limbs—does anybody know
where it was hidden so long? Yes, when the mother was a young girl it
lay pervading her heart in tender and silent mystery of love—the sweet,
soft freshness that has bloomed on baby’s limbs."
"When I bring to you coloured toys, my child",রঙিন খেলেনা দিলে ও রাঙা হাতে,"রঙিন খেলেনা দিলে ও রাঙা হাতে তখন বুঝি রে বাছা, কেন যে প্রাতে এত রঙ খেলে মেঘে জলে রঙ ওঠে জেগে, কেন এত রঙ লেগে ফুলের পাতে— রাঙা খেলা দেখি যবে ও রাঙা হাতে। গান গেয়ে তোরে আমি নাচাই যবে আপন হৃদয়-মাঝে বুঝি রে তবে, পাতায় পাতায় বনে ধ্বনি এত কী কারণে, ঢেউ বহে নিজমনে তরল রবে, বুঝি তা তোমারে গান শুনাই যবে। যখন নবনী দিই লোলুপ করে হাতে মুখে মেখেচুকে বেড়াও ঘরে, তখন বুঝিতে পারি স্বাদু কেন নদীবারি, ফল মধুরসে ভারী কিসের তরে, যখন নবনী দিই লোলুপ করে। যখন চুমিয়ে তোর বদনখানি হাসিটি ফুটায়ে তুলি তখনি জানি আকাশ কিসের সুখে আলো দেয় মোর মুখে, বায়ু দিয়ে যায় বুকে অমৃত আনি— বুঝি তা চুমিলে তোর বদনখানি।","When I bring to you coloured toys, my child, I understand why there is
such a play of colours on clouds, on water, and why flowers are painted
in tints—when I give coloured toys to you, my child.

When I sing to make you dance I truly now why there is music in leaves,
and why waves send their chorus of voices to the heart of the listening
earth—when I sing to make you dance.

When I bring sweet things to your greedy hands I know why there is
honey in the cup of the flowers and why fruits are secretly filled with
sweet juice—when I bring sweet things to your greedy hands.

When I kiss your face to make you smile, my darling, I surely
understand what pleasure streams from the sky in morning light, and
what delight that is that is which the summer breeze brings to my
body—when I kiss you to make you smile."
Thou hast made me known to friends,কত অজানারে জানাইলে তুমি,"কত অজানারে জানাইলে তুমি, কত ঘরে দিলে ঠাঁই — দূরকে করিলে নিকট, বন্ধু, পরকে করিলে ভাই। পুরানো আবাস ছেড়ে যাই যবে মনে ভেবে মরি কী জানি কী হবে, নূতনের মাঝে তুমি পুরাতন সে কথা যে ভুলে যাই। দূরকে করিলে নিকট, বন্ধু, পরকে করিলে ভাই। জীবনে মরণে নিখিল ভুবনে যখনি যেখানে লবে, চিরজনমের পরিচিত ওহে, তুমিই চিনাবে সবে। তোমারে জানিলে নাহি কেহ পর, নাহি কোনো মানা, নাহি কোনো ডর ; সবারে মিলায়ে তুমি জাগিতেছ, দেখা যেন সদা পাই। দূরকে করিলে নিকট, বন্ধু, পরকে করিলে ভাই।","Thou hast made me known to friends whom I knew not. Thou hast given me
seats in homes not my own. Thou hast brought the distant near and made
a brother of the stranger.

I am uneasy at heart when I have to leave my accustomed shelter; I
forget that there abides the old in the new, and that there also thou
abidest.

Through birth and death, in this world or in others, wherever thou
leadest me it is thou, the same, the one companion of my endless life
who ever linkest my heart with bonds of joy to the unfamiliar.

When one knows thee, then alien there is none, then no door is shut.
Oh, grant me my prayer that I may never lose the bliss of the touch of
the one in the play of many."
On the slope of the desolate river among,কাশের বনে শূণ্য নদীর তীরে,"কাশের বনে শূন্য নদীর তীরে আমি তারে জিজ্ঞাসিলাম ডেকে, ""একলা পথে কে তুমি যাও ধীরে আঁচল-আড়ে প্রদীপখানি ঢেকে। আমার ঘরে হয় নি আলো জ্বালা, দেউটি তব হেথায় রাখো বালা।' গোধূলিতে দুটি নয়ন কালো ক্ষণেক-তরে আমার মুখে তুলে সে কহিল, ""ভাসিয়ে দেব আলো, দিনের শেষে তাই এসেছি কূলে।' চেয়ে দেখি দাঁড়িয়ে কাশের বনে, প্রদীপ ভেসে গেল অকারণে। ভরা সাঁঝে আঁধার হয়ে এলে আমি ডেকে জিজ্ঞাসিলাম তারে, ""তোমার ঘরে সকল আলো জ্বেলে এ দীপখানি সঁপিতে যাও কারে। আমার ঘরে হয় নি আলো জ্বালা, দেউটি তব হেথায় রাখো বালা।' আমার মুখে দুটি নয়ন কালো ক্ষণেক-তরে রইল চেয়ে ভুলে। সে কহিল, ""আমার এ যে আলো আকাশপ্রদীপ শূন্যে দিব তুলে।' চেয়ে দেখি শূন্য গগনকোণে প্রদীপখানি জ্বলে অকারণে। অমাবস্যা আঁধার দুই-পহরে জিজ্ঞাসিলাম তাহার কাছে গিয়ে, ""ওগো, তুমি চলেছ কার তরে প্রদীপখানি বুকের কাছে নিয়ে। আমার ঘরে হয় নি আলো জ্বালা, দেউটি তব হেথায় রাখো বালা।' অন্ধকারে দুটি নয়ন কালো ক্ষণেক মোরে দেখলে চেয়ে তবে, সে কহিল, ""এনেছি এই আলো, দীপালিতে সাজিয়ে দিতে হবে।' চেয়ে দেখি লক্ষ দীপের সনে দীপখানি তার জ্বলে অকারণে।","On the slope of the desolate river among tall grasses I asked her,
""Maiden, where do you go shading your lamp with your mantle? My house
is all dark and lonesome—lend me your light!"" she raised her dark eyes
for a moment and looked at my face through the dusk. ""I have come to
the river,"" she said, ""to float my lamp on the stream when the daylight
wanes in the west."" I stood alone among tall grasses and watched the
timid flame of her lamp uselessly drifting in the tide.

In the silence of gathering night I asked her, ""Maiden, your lights are
all lit—then where do you go with your lamp? My house is all dark and
lonesome—lend me your light."" She raised her dark eyes on my face and
stood for a moment doubtful. ""I have come,"" she said at last, ""to
dedicate my lamp to the sky."" I stood and watched her light uselessly
burning in the void.

In the moonless gloom of midnight I ask her, ""Maiden, what is your
quest, holding the lamp near your heart? My house is all dark and
lonesome—lend me your light."" She stopped for a minute and thought and
gazed at my face in the dark. ""I have brought my light,"" she said, ""to
join the carnival of lamps."" I stood and watched her little lamp
uselessly lost among lights."
"What divine drink wouldst thou have, my God","হে মোর দেবতা, ভরিয়া এ দেহ প্রাণ","হে মোর দেবতা, ভরিয়া এ দেহ প্রাণ কী অমৃত তুমি চাহ করিবারে পান। আমার নয়নে তোমার বিশ্বছবি দেখিয়া লইতে সাধ যায় তব কবি, আমার মুগ্ধ শ্রবণে নীরব রহি শুনিয়া লইতে চাহ আপনার গান। হে মোর দেবতা, ভরিয়া এ দেহ প্রাণ কী অমৃত তুমি চাহ করিবারে পান। আমার চিত্তে তোমার সৃষ্টিখানি রচিয়া তুলিছে বিচিত্র এক বাণী। তারি সাথে প্রভু মিলিয়া তোমার প্রীতি জাগায়ে তুলিছে আমার সকল গীতি, আপনারে তুমি দেখিছ মধুর রসে আমার মাঝারে নিজেরে করিয়া দান। হে মোর দেবতা, ভরিয়া এ দেহ প্রাণ কী অমৃত তুমি চাহ করিবারে পান।","What divine drink wouldst thou have, my God, from this overflowing cup
of my life?

My poet, is it thy delight to see thy creation through my eyes and to
stand at the portals of my ears silently to listen to thine own eternal
harmony?

Thy world is weaving words in my mind and thy joy is adding music to
them. Thou givest thyself to me in love and then feelest thine own
entire sweetness in me."
She who ever had remained in the depth,জীবনে যা চিরদিন,"জীবনে যা চিরদিন রয়ে গেছে আভাসে প্রভাতের আলোকে যা ফোটে নাই প্রকাশে, জীবনের শেষ দানে জীবনের শেষ গানে, হে দেবতা, তাই আজি দিব তব সকাশে, প্রভাতের আলোকে যা ফোটে নাই প্রকাশে। কথা তারে শেষ করে পারে নাই বাঁধিতে, গান তারে সুর দিয়ে পারে নাই সাধিতে। কী নিভৃতে চুপে চুপে মোহন নবীনরূপে নিখিল নয়ন হতে ঢাকা ছিল, সখা, সে। প্রভাতের আলোকে তো ফোটে নাই প্রকাশে। ভ্রমেছি তাহারে লয়ে দেশে দেশে ফিরিয়া, জীবনে যা ভাঙাগড়া সবি তারে ঘিরিয়া। সব ভাবে সব কাজে আমার সবার মাঝে শয়নে স্বপনে থেকে তবু ছিল একা সে। প্রভাতের আলোকে তো ফোটে নাই প্রকাশে। কত দিন কত লোকে গীতাঞ্জলি চেয়েছিল উহারে, বৃথা ফিরে গেছে তারা বাহিরের দুয়ারে। আর কেহ বুঝিবে না, তোমা - সাথে হবে চেনা সেই আশা লয়ে ছিল আপনারি আকাশে, প্রভাতের আলোকে তো ফোটে নাই প্রকাশে।","She who ever had remained in the depth of my being, in the twilight of
gleams and of glimpses; she who never opened her veils in the morning
light, will be my last gift to thee, my God, folded in my final song.

Words have wooed yet failed to win her; persuasion has stretched to her
its eager arms in vain.

I have roamed from country to country keeping her in the core of my
heart, and around her have risen and fallen the growth and decay of my
life.

Over my thoughts and actions, my slumbers and dreams, she reigned yet
dwelled alone and apart.

Many a man knocked at my door and asked for her and turned away in
despair.

There was none in the world who ever saw her face to face, and she
remained in her loneliness waiting for thy recognition."
Thou art the sky and thou art the nest as well,"একাধারে তুমিই আকাশ, তুমিই নীড়","একাধারে তুমিই আকাশ, তুমি নীড়। হে সুন্দর, নীড়ে তব প্রেম সুনিবিড় প্রতি ক্ষণে নানা বর্ণে নানা গন্ধে গীতে মুগ্ধ প্রাণ বেষ্টন করেছে চারি ভিতে। সেথা ঊষা ডান হাতে ধরি স্বর্ণথালা নিয়ে আসে একখানি মাধুর্যের মালা নীরবে পরায়ে দিতে ধরার ললাটে; সন্ধ্যা আসে নম্রমুখে ধেনুশূন্য মাঠে চিহ্নহীন পথ দিয়ে লয়ে স্বর্ণঝারি পশ্চিমসমুদ্র হতে ভরি শান্তিবারি। তুমি যেথা আমাদের আত্মার আকাশ, অপার সঞ্চারক্ষেত্র, সেথা শুভ্র ভাস; দিন নাই, রাত নাই, নাই জনপ্রাণী, বর্ণ নাই, গন্ধ নাই--নাই নাই বাণী।","Thou art the sky and thou art the nest as well.

O thou beautiful, there in the nest is thy love that encloses the soul
with colours and sounds and odours.

There comes the morning with the golden basket in her right hand
bearing the wreath of beauty, silently to crown the earth.

And there comes the evening over the lonely meadows deserted by herds,
through trackless paths, carrying cool draughts of peace in her golden
pitcher from the western ocean of rest.

But there, where spreads the infinite sky for the soul to take her
flight in, reigns the stainless white radiance. There is no day nor
night, nor form nor colour, and never, never a word."
Thy sunbeam comes upon this earth of mine,তব রবিকর আসে কর বাড়াইয়া,"তব রবিকর আসে কর বাড়াইয়া এ আমার ধরণীতে। সারাদিন দ্বারে রহে কেন দাঁড়াইয়া কী আছে কী চায় নিতে। রাতের আঁধারে ফিরে যায় যবে, জানি নিয়ে যায় বহি মেঘ-আবরণখানি, নয়নের জলে রচিত ব্যাকুল বাণী খচিত ললিত গীতে। নব নব রূপে বরণে বরণে ভরি বুকে লহ তুলি সেই মেঘ-উত্তরী। লঘু সে চপল কোমল শ্যামল কালো, হে নিরঞ্জন, নাই বাস তারে ভালো, তারে দিয়ে তুমি ঢাক আপনার আলো সকরুণ ছায়াটিতে।","Thy sunbeam comes upon this earth of mine with arms outstretched and
stands at my door the livelong day to carry back to thy feet clouds
made of my tears and sighs and songs.

With fond delight thou wrappest about thy starry breast that mantle of
misty cloud, turning it into numberless shapes and folds and colouring
it with hues everchanging.

It is so light and so fleeting, tender and tearful and dark, that is
why thou lovest it, O thou spotless and serene. And that is why it may
cover thy awful white light with its pathetic shadows."
The same stream of life that runs,এ আমার শিরায় শিরায়,"এ আমার শরীরের শিরায় শিরায় যে প্রাণ-তরঙ্গমালা রাত্রিদিন ধায় সেই প্রাণ ছুটিয়াছে বিশ্বদিগ্‌বিজয়ে, সেই প্রাণ অপরূপ ছন্দে তালে লয়ে নাচিছে ভুবনে; সেই প্রাণ চুপে চুপে বসুধার মৃত্তিকার প্রতি রোমকূপে লক্ষ লক্ষ তৃণে তৃণে সঞ্চারে হরষে, বিকাশে পল্লবে পুষ্পে-- বরষে বরষে বিশ্বব্যাপী জন্মমৃত্যুসমুদ্রদোলায় দুলিতেছে অন্তহীন জোয়ার-ভাঁটায়। করিতেছি অনুভব, সে অনন্ত প্রাণ অঙ্গে অঙ্গে আমারে করেছে মহীয়ান। সেই যুগযুগান্তের বিরাট স্পন্দন আমার নাড়ীতে আজি করিছে নর্তন।","The same stream of life that runs through my veins night and day runs
through the world and dances in rhythmic measures.

It is the same life that shoots in joy through the dust of the earth in
numberless blades of grass and breaks into tumultuous waves of leaves
and flowers.

It is the same life that is rocked in the ocean-cradle of birth and of
death, in ebb and in flow.

I feel my limbs are made glorious by the touch of this world of life.
And my pride is from the life-throb of ages dancing in my blood this
moment."
Is it beyond thee to be glad with,পারবি না কি যোগ দিতে এই ছন্দে রে,"পারবি না কি যোগ দিতে এই ছন্দে রে, খসে যাবার ভেসে যাবার ভাঙবারই আনন্দে রে। পাতিয়া কান শুনিস না যে দিকে দিকে গগনমাঝে মরণবীণায় কী সুর বাজে তপন-তারা-চন্দ্রে রে জ্বালিয়ে আগুন ধেয়ে ধেয়ে জ্বলবারই আনন্দে রে। পাগল-করা গানের তানে ধায় যে কোথা কেই-বা জানে, চায় না ফিরে পিছন-পানে রয় না বাঁধা বন্ধে রে লুটে যাবার ছুটে যাবার চলবারই আনন্দে রে। সেই আনন্দ-চরণপাতে ছয় ঋতু যে নৃত্যে মাতে, প্লাবন বহে যায় ধরাতে বরন গীতে গন্ধে রে ফেলে দেবার ছেড়ে দেবার মরবারই আনন্দে রে।","Is it beyond thee to be glad with the gladness of this rhythm? to be
tossed and lost and broken in the whirl of this fearful joy?

All things rush on, they stop not, they look not behind, no power can
hold them back, they rush on.

Keeping steps with that restless, rapid music, seasons come dancing and
pass away—colours, tunes, and perfumes pour in endless cascades in the
abounding joy that scatters and gives up and dies every moment."
